n	total	target	count	date	cacheSizes	tableFinishTimeEst
1	0	0	1	Wed Sep 24 13:45:41 PDT 2014	{ }	Wed Sep 24 13:45:51 PDT 2014
2	0	0	1	Wed Sep 24 13:45:41 PDT 2014	{ }	Wed Sep 24 13:45:51 PDT 2014
3	0	1	1	Wed Sep 24 13:45:41 PDT 2014	{ }	Wed Sep 24 13:45:51 PDT 2014
3	1	1	6	Wed Sep 24 13:45:42 PDT 2014	{ [1,1]:0 [1,2]:1 [2,2]:1 }	Wed Sep 24 13:45:52 PDT 2014
4	0	3	1	Wed Sep 24 13:45:42 PDT 2014	{ }	Wed Sep 24 13:45:52 PDT 2014
4	1	3	24	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:1 }	Wed Sep 24 13:45:52 PDT 2014
4	2	3	282	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:5 }	Wed Sep 24 13:45:52 PDT 2014
4	3	3	2008	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:12 }	Wed Sep 24 13:45:52 PDT 2014
5	0	6	1	Wed Sep 24 13:45:42 PDT 2014	{ }	Wed Sep 24 13:45:52 PDT 2014
5	1	6	120	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:0 [2,3]:1 [3,3]:1 }	Wed Sep 24 13:45:52 PDT 2014
5	2	6	6210	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:1 [2,3]:6 [3,3]:7 }	Wed Sep 24 13:45:52 PDT 2014
5	3	6	153040	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:3 [2,3]:14 [3,3]:23 }	Wed Sep 24 13:45:52 PDT 2014
5	4	6	2224955	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:5 [2,3]:32 [3,3]:57 }	Wed Sep 24 13:45:52 PDT 2014
5	5	6	22069251	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:10 [2,3]:56 [3,3]:121 }	Wed Sep 24 13:45:52 PDT 2014
5	6	6	164176640	Wed Sep 24 13:45:42 PDT 2014	{ [2,2]:12 [2,3]:100 [3,3]:234 }	Wed Sep 24 13:45:52 PDT 2014
6	0	10	1	Wed Sep 24 13:45:42 PDT 2014	{ }	Wed Sep 24 13:45:52 PDT 2014
6	1	10	720	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:1 }	Wed Sep 24 13:45:52 PDT 2014
6	2	10	202410	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:9 }	Wed Sep 24 13:45:52 PDT 2014
6	3	10	20933840	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:26 }	Wed Sep 24 13:45:52 PDT 2014
6	4	10	1047649905	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:63 }	Wed Sep 24 13:45:52 PDT 2014
6	5	10	30767936616	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:136 }	Wed Sep 24 13:45:52 PDT 2014
6	6	10	602351808741	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:256 }	Wed Sep 24 13:45:52 PDT 2014
6	7	10	8575979362560	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:456 }	Wed Sep 24 13:46:12 PDT 2014
6	8	10	94459713879600	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:756 }	Wed Sep 24 13:46:02 PDT 2014
6	9	10	842286559093240	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:1198 }	Wed Sep 24 13:45:52 PDT 2014
6	10	10	6292583664553881	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:1857 }	Wed Sep 24 13:45:42 PDT 2014
7	0	15	1	Wed Sep 24 13:45:42 PDT 2014	{ }	Wed Sep 24 13:45:52 PDT 2014
7	1	15	5040	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:0 [3,4]:1 [4,4]:1 }	Wed Sep 24 13:45:52 PDT 2014
7	2	15	9135630	Wed Sep 24 13:45:42 PDT 2014	{ [3,3]:3 [3,4]:11 [4,4]:10 }	Wed Sep 24 13:45:52 PDT 2014
7	3	15	4662857360	Wed Sep 24 13:45:43 PDT 2014	{ [3,3]:6 [3,4]:31 [4,4]:44 }	Wed Sep 24 13:45:53 PDT 2014
7	4	15	936670590450	Wed Sep 24 13:45:43 PDT 2014	{ [3,3]:19 [3,4]:92 [4,4]:130 }	Wed Sep 24 13:45:53 PDT 2014
7	5	15	94161778046406	Wed Sep 24 13:45:43 PDT 2014	{ [3,3]:33 [3,4]:193 [4,4]:350 }	Wed Sep 24 13:45:53 PDT 2014
7	6	15	5562418293759978	Wed Sep 24 13:45:43 PDT 2014	{ [3,3]:62 [3,4]:437 [4,4]:825 }	Wed Sep 24 13:45:53 PDT 2014
7	7	15	215717608046511873	Wed Sep 24 13:45:43 PDT 2014	{ [3,3]:106 [3,4]:803 [4,4]:1761 }	Wed Sep 24 13:47:07 PDT 2014
7	8	15	5945968652327831925	Wed Sep 24 13:45:43 PDT 2014	{ [3,3]:168 [3,4]:1508 [4,4]:3507 }	Wed Sep 24 13:46:58 PDT 2014
7	9	15	123538613356253145400	Wed Sep 24 13:45:44 PDT 2014	{ [3,3]:261 [3,4]:2516 [4,4]:6559 }	Wed Sep 24 13:46:52 PDT 2014
7	10	15	2023270039486328373811	Wed Sep 24 13:45:46 PDT 2014	{ [3,3]:386 [3,4]:4226 [4,4]:11617 }	Wed Sep 24 13:46:45 PDT 2014
7	11	15	27046306550096288483238	Wed Sep 24 13:45:47 PDT 2014	{ [3,3]:562 [3,4]:6521 [4,4]:19701 }	Wed Sep 24 13:46:34 PDT 2014
7	12	15	303378141987182515342992	Wed Sep 24 13:45:48 PDT 2014	{ [3,3]:796 [3,4]:10153 [4,4]:32268 }	Wed Sep 24 13:46:24 PDT 2014
7	13	15	2920054336492521720572276	Wed Sep 24 13:45:50 PDT 2014	{ [3,3]:1083 [3,4]:14850 [4,4]:51057 }	Wed Sep 24 13:46:15 PDT 2014
7	14	15	24563127009195223721952590	Wed Sep 24 13:45:53 PDT 2014	{ [3,3]:1493 [3,4]:21820 [4,4]:78625 }	Wed Sep 24 13:46:06 PDT 2014
7	15	15	183343273080700916973016745	Wed Sep 24 13:45:57 PDT 2014	{ [3,3]:1954 [3,4]:30599 [4,4]:118029 }	Wed Sep 24 13:45:57 PDT 2014
8	0	21	1	Wed Sep 24 13:45:57 PDT 2014	{ }	Wed Sep 24 13:46:07 PDT 2014
8	1	21	40320	Wed Sep 24 13:45:57 PDT 2014	{ [4,4]:1 }	Wed Sep 24 13:46:07 PDT 2014
8	2	21	545007960	Wed Sep 24 13:45:57 PDT 2014	{ [4,4]:14 }	Wed Sep 24 13:46:07 PDT 2014
8	3	21	1579060246400	Wed Sep 24 13:45:57 PDT 2014	{ [4,4]:52 }	Wed Sep 24 13:46:07 PDT 2014
8	4	21	1455918295922650	Wed Sep 24 13:45:57 PDT 2014	{ [4,4]:152 }	Wed Sep 24 13:46:07 PDT 2014
8	5	21	569304690994400256	Wed Sep 24 13:45:57 PDT 2014	{ [4,4]:411 }	Wed Sep 24 13:46:07 PDT 2014
8	6	21	114601242382721619224	Wed Sep 24 13:45:57 PDT 2014	{ [4,4]:932 }	Wed Sep 24 13:46:07 PDT 2014
8	7	21	13590707419428422843904	Wed Sep 24 13:45:58 PDT 2014	{ [4,4]:1999 }	Wed Sep 24 13:48:21 PDT 2014
8	8	21	1046591482728407939338275	Wed Sep 24 13:45:58 PDT 2014	{ [4,4]:3899 }	Wed Sep 24 13:48:13 PDT 2014
8	9	21	56272722406349235035916800	Wed Sep 24 13:45:58 PDT 2014	{ [4,4]:7252 }	Wed Sep 24 13:48:06 PDT 2014
8	10	21	2233160342369825596702148720	Wed Sep 24 13:45:59 PDT 2014	{ [4,4]:12707 }	Wed Sep 24 13:48:00 PDT 2014
8	11	21	68316292103293669997188919040	Wed Sep 24 13:46:00 PDT 2014	{ [4,4]:21462 }	Wed Sep 24 13:47:56 PDT 2014
8	12	21	1667932098862773837734823042196	Wed Sep 24 13:46:02 PDT 2014	{ [4,4]:34905 }	Wed Sep 24 13:47:52 PDT 2014
8	13	21	33427469280977307618866364694400	Wed Sep 24 13:46:05 PDT 2014	{ [4,4]:54985 }	Wed Sep 24 13:47:51 PDT 2014
8	14	21	562798805673342016752366344185200	Wed Sep 24 13:46:10 PDT 2014	{ [4,4]:84370 }	Wed Sep 24 13:47:57 PDT 2014
8	15	21	8115208977465404874100226492575360	Wed Sep 24 13:46:17 PDT 2014	{ [4,4]:126044 }	Wed Sep 24 13:48:01 PDT 2014
8	16	21	101857066150530294146428615917957029	Wed Sep 24 13:46:27 PDT 2014	{ [4,4]:184416 }	Wed Sep 24 13:48:12 PDT 2014
8	17	21	1128282526405022554049557329097252992	Wed Sep 24 13:46:43 PDT 2014	{ [4,4]:264536 }	Wed Sep 24 13:48:26 PDT 2014
8	18	21	11161302946841260178530673680176000200	Wed Sep 24 13:47:06 PDT 2014	{ [4,4]:372809 }	Wed Sep 24 13:48:46 PDT 2014
8	19	21	99613494890126594335550124219924540800	Wed Sep 24 13:47:43 PDT 2014	{ [4,4]:516895 }	Wed Sep 24 13:49:17 PDT 2014
8	20	21	809256770610540675454657517194018680846	Wed Sep 24 13:48:42 PDT 2014	{ [4,4]:706415 }	Wed Sep 24 13:49:55 PDT 2014
8	21	21	6031107989875562751266116901999327710720	Wed Sep 24 13:50:25 PDT 2014	{ [4,4]:952858 }	Wed Sep 24 13:50:25 PDT 2014
9	0	28	1	Wed Sep 24 13:50:25 PDT 2014	{ }	Wed Sep 24 13:50:35 PDT 2014
9	1	28	362880	Wed Sep 24 13:50:33 PDT 2014	{ [4,4]:0 [4,5]:1 [5,5]:1 }	Wed Sep 24 13:50:43 PDT 2014
9	2	28	41514583320	Wed Sep 24 13:50:33 PDT 2014	{ [4,4]:5 [4,5]:16 [5,5]:13 }	Wed Sep 24 13:50:43 PDT 2014
9	3	28	772200774683520	Wed Sep 24 13:50:33 PDT 2014	{ [4,4]:12 [4,5]:55 [5,5]:71 }	Wed Sep 24 13:50:43 PDT 2014
9	4	28	3680232136895819610	Wed Sep 24 13:50:34 PDT 2014	{ [4,4]:50 [4,5]:210 [5,5]:260 }	Wed Sep 24 13:50:44 PDT 2014
9	5	28	6274236760589024662176	Wed Sep 24 13:50:35 PDT 2014	{ [4,4]:94 [4,5]:539 [5,5]:855 }	Wed Sep 24 13:50:45 PDT 2014
9	6	28	4801114002903931560293544	Wed Sep 24 13:50:38 PDT 2014	{ [4,4]:242 [4,5]:1475 [5,5]:2414 }	Wed Sep 24 13:50:48 PDT 2014
9	7	28	1933216160887575268614599040	Wed Sep 24 13:50:44 PDT 2014	{ [4,4]:450 [4,5]:3199 [5,5]:6034 }	Wed Sep 24 14:17:01 PDT 2014
9	8	28	459761347800901006933211075259	Wed Sep 24 13:51:00 PDT 2014	{ [4,4]:882 [4,5]:7044 [5,5]:13959 }	Wed Sep 24 17:05:11 PDT 2014
9	9	28	70417932475495769964322670258947	Wed Sep 24 13:51:29 PDT 2014	{ [4,4]:1554 [4,5]:13645 [5,5]:29957 }	Thu Sep 25 01:05:43 PDT 2014
9	10	28	7424168163091445250817494013145952	Wed Sep 24 13:52:17 PDT 2014	{ [4,4]:2660 [4,5]:26294 [5,5]:60551 }	Thu Sep 25 20:14:29 PDT 2014
9	11	28	567762182186173058693219978096627184	Wed Sep 24 13:54:02 PDT 2014	{ [4,4]:4349 [4,5]:46290 [5,5]:116024 }	Wed Oct 08 15:17:48 PDT 2014
