family	father	mother	gender	height	kids	male	female
"1"	78.5	67.0	"M"	73.2	4	1.0	0.0
"1"	78.5	67.0	"F"	69.2	4	0.0	1.0
"1"	78.5	67.0	"F"	69.0	4	0.0	1.0
"1"	78.5	67.0	"F"	69.0	4	0.0	1.0
"2"	75.5	66.5	"M"	73.5	4	1.0	0.0
"2"	75.5	66.5	"M"	72.5	4	1.0	0.0
"2"	75.5	66.5	"F"	65.5	4	0.0	1.0
"2"	75.5	66.5	"F"	65.5	4	0.0	1.0
"3"	75.0	64.0	"M"	71.0	2	1.0	0.0
"3"	75.0	64.0	"F"	68.0	2	0.0	1.0
"4"	75.0	64.0	"M"	70.5	5	1.0	0.0
"4"	75.0	64.0	"M"	68.5	5	1.0	0.0
"4"	75.0	64.0	"F"	67.0	5	0.0	1.0
"4"	75.0	64.0	"F"	64.5	5	0.0	1.0
"4"	75.0	64.0	"F"	63.0	5	0.0	1.0
"5"	75.0	58.5	"M"	72.0	6	1.0	0.0
"5"	75.0	58.5	"M"	69.0	6	1.0	0.0
"5"	75.0	58.5	"M"	68.0	6	1.0	0.0
"5"	75.0	58.5	"F"	66.5	6	0.0	1.0
"5"	75.0	58.5	"F"	62.5	6	0.0	1.0
"5"	75.0	58.5	"F"	62.5	6	0.0	1.0
"6"	74.0	68.0	"F"	69.5	1	0.0	1.0
"7"	74.0	68.0	"M"	76.5	6	1.0	0.0
"7"	74.0	68.0	"M"	74.0	6	1.0	0.0
"7"	74.0	68.0	"M"	73.0	6	1.0	0.0
"7"	74.0	68.0	"M"	73.0	6	1.0	0.0
"7"	74.0	68.0	"F"	70.5	6	0.0	1.0
"7"	74.0	68.0	"F"	64.0	6	0.0	1.0
"8"	74.0	66.5	"F"	70.5	3	0.0	1.0
"8"	74.0	66.5	"F"	68.0	3	0.0	1.0
"8"	74.0	66.5	"F"	66.0	3	0.0	1.0
"9"	74.5	66.0	"F"	66.0	1	0.0	1.0
"10"	74.0	65.5	"F"	65.5	1	0.0	1.0
"11"	74.0	62.0	"M"	74.0	8	1.0	0.0
"11"	74.0	62.0	"M"	70.0	8	1.0	0.0
"11"	74.0	62.0	"F"	68.0	8	0.0	1.0
"11"	74.0	62.0	"F"	67.0	8	0.0	1.0
"11"	74.0	62.0	"F"	67.0	8	0.0	1.0
"11"	74.0	62.0	"F"	66.0	8	0.0	1.0
"11"	74.0	62.0	"F"	63.5	8	0.0	1.0
"11"	74.0	62.0	"F"	63.0	8	0.0	1.0
"12"	74.0	61.0	"F"	65.0	1	0.0	1.0
"14"	73.0	67.0	"M"	68.0	2	1.0	0.0
"14"	73.0	67.0	"M"	67.0	2	1.0	0.0
"15"	73.0	66.5	"M"	71.0	3	1.0	0.0
