"m","train_accuracy","train_deviance","test_accuracy","test_deviance"
3,1,1.16524345731347e-10,0.479964,12.9682957026691
3,1,1.16524345731347e-10,0.800134,5.52281153304638
3,1,1.16524345731347e-10,0.719916,6.89387157581483
3,1,1.16524345731347e-10,0.800134,5.52281153298834
3,1,1.16524345731347e-10,0.519881,11.3387180981884
3,1,1.16524345731347e-10,0.520898,10.2081447467478
3,1,1.16524345731347e-10,0.639769,9.95355036762603
3,1,1.16524345731347e-10,0.59969,11.3387181016421
3,1,1.16524345731347e-10,0.519643,10.537452025353
3,1,1.16524345731347e-10,0.559898,10.7121499240837
3,1,1.16524345731347e-10,0.59969,11.060974062964
3,NA,1.16524345731347e-10,NA,11.047545386725
3,1,1.16524345731347e-10,0.480357,14.3582667057677
3,1,1.16524345731347e-10,0.599878,5.80011546655282
3,NA,1.16524345731347e-10,NA,11.047545386725
3,NA,1.16524345731347e-10,NA,16.5834757293201
3,1,1.16524345731347e-10,0.800134,5.52281153295876
3,1,1.16524345731347e-10,0.560129,8.46729635793189
3,1,1.16524345731347e-10,0.59969,11.3387181016714
3,1,1.16524345731347e-10,0.720034,6.57457762604561
3,1,1.16524345731347e-10,0.599878,5.80011546912847
3,1,1.16524345731347e-10,0.600805,11.0302271290954
3,1,1.16524345731347e-10,0.439428,15.4891767690216
3,1,1.16524345731347e-10,0.680102,7.52383039508154
3,1,1.16524345731347e-10,0.519643,13.2727544102074
3,NA,1.16524345731347e-10,NA,11.047545386725
3,NA,1.16524345731347e-10,NA,11.047545386725
3,1,1.16524345731347e-10,0.800134,5.7990313113191
3,NA,1.16524345731347e-10,NA,11.047545386725
3,1,1.16524345731347e-10,0.559297,11.8071586934148
3,1,1.16524345731347e-10,0.560334,11.562057266382
3,1,1.16524345731347e-10,0.559717,11.1108245291219
3,1,1.16524345731347e-10,0.439334,12.4592439561331
3,1,1.16524345731347e-10,0.680102,7.38993784447134
3,1,1.16524345731347e-10,0.59969,11.3387181016562
3,1,1.16524345731347e-10,0.520888,11.0605738662719
3,NA,1.16524345731347e-10,NA,11.047545386725
3,1,1.16524345731347e-10,0.800134,5.5228115329594
3,1,1.16524345731347e-10,0.439428,12.4592440370908
3,1,1.16524345731347e-10,0.59969,11.060974062964
3,1,1.16524345731347e-10,0.599878,5.80011546654776
3,NA,1.16524345731347e-10,NA,11.047545386725
3,1,1.16524345731347e-10,0.480357,11.9724887627579
3,1,1.16524345731347e-10,0.439666,11.5854953928695
3,1,1.16524345731347e-10,0.599878,5.80011546911069
