"m","value"
3,-12.9682957026691
3,-5.52281153304638
3,-6.89387157581483
3,-5.52281153298834
3,-11.3387180981884
3,-10.2081447467478
3,-9.95355036762603
3,-11.3387181016421
3,-10.537452025353
3,-10.7121499240837
3,-11.060974062964
3,-14.3582667057677
3,-5.80011546655282
3,-5.52281153295876
3,-8.46729635793189
3,-11.3387181016714
3,-6.57457762604561
3,-5.80011546912847
3,-11.0302271290954
3,-15.4891767690216
3,-7.52383039508154
3,-13.2727544102074
3,-5.7990313113191
3,-11.8071586934148
3,-11.562057266382
3,-11.1108245291219
3,-12.4592439561331
3,-7.38993784447134
3,-11.3387181016562
3,-11.0605738662719
3,-5.5228115329594
3,-12.4592440370908
3,-11.060974062964
3,-5.80011546654776
3,-11.9724887627579
3,-11.5854953928695
3,-5.80011546911069
3,-6.26528046849929
3,-11.5939349353017
3,-11.3387181014842
4,-11.3387181076172
4,-13.5392305012577
4,-5.80011546913989
4,-11.0609740629815
4,-6.86302901895119
4,-9.84549488095313
4,-11.7758607200221
4,-13.4704107366056
4,-8.01000313928361
4,-6.18985012974605
4,-5.52250166640275
4,-10.8601622279726
4,-13.2835489683844
4,-12.8143897921122
4,-5.72123918186853
4,-13.2502627590097
4,-10.0703518876785
4,-5.7990313143763
4,-10.905853601671
4,-5.80011546654454
4,-5.8175352263471
4,-9.99833972747638
4,-6.0009420275852
4,-12.5154768011418
4,-14.4518418206542
4,-13.791639808877
4,-15.7143865771547
4,-11.060974062964
4,-11.8451809936972
4,-12.6571458746418
4,-18.7727668120594
4,-6.18231286003502
4,-12.8736371956463
4,-12.6360834746808
4,-13.260817809076
4,-10.5050352957277
4,-9.62955744581
4,-12.4630431622664
4,-11.060974062964
4,-11.3387180991033
4,-10.9491826905204
4,-5.52281153298702
5,-12.0616836624902
5,-10.191792210865
5,-10.4762506589167
5,-14.6307421415482
5,-6.43476389621229
5,-13.3446801231198
5,-10.9262484777021
5,-11.166569439113
5,-6.18537850373053
5,-10.0726853068186
5,-7.4959691304882
5,-10.7321111352294
5,-5.52250166871319
5,-13.5747081826543
5,-11.060974062964
5,-13.6838678143771
5,-14.0397517962229
5,-11.6553093400536
5,-14.9018551204154
5,-13.7438140797132
5,-11.0267191915866
5,-9.79411505798244
5,-12.681456863215
5,-6.14445794323498
5,-9.55914117958913
5,-11.16160921234
5,-9.53919480388164
5,-13.3545131521777
5,-15.9746997372877
5,-15.2840334563547
5,-3.67389670526463
5,-12.3604334123365
5,-11.3387181311858
5,-15.7236936231743
5,-5.79903134447903
5,-11.5177330902444
5,-6.93302145581769
5,-6.76284273744728
5,-11.6822288892983
5,-10.6775432559122
5,-8.7982478736728
6,-5.52250166642127
6,-7.695193424369
6,-11.0764374451427
6,-14.4535546345005
6,-12.136760239102
6,-1.5789831748485
6,-10.8520561442189
6,-5.79903122946635
6,-12.969167707612
6,-10.8887816975343
6,-13.7294270301825
6,-14.6361319823727
6,-8.84259914563035
6,-10.5910382242862
6,-12.8290086689708
6,-3.53247728387893
6,-14.478542072726
6,-13.8057018920328
6,-10.9556860348332
6,-8.59547478229436
6,-12.8604102036657
6,-10.7062859847796
6,-12.8736378006494
6,-9.0588387033109
6,-7.08729763893876
6,-2.969884472735
6,-9.36519148036639
6,-12.3840246083664
6,-8.30113341219506
6,-11.9310445395028
6,-10.3129237339995
6,-13.6503777862221
6,-13.2727544102094
6,-11.0529662498324
6,-10.5011828273568
6,-10.568871511998
6,-6.59519214138764
6,-10.8181329956073
6,-6.5898301710055
6,-7.81600206239735
6,-12.6416633778204
6,-6.75265135348826
6,-6.37870049449205
6,-10.8552755136994
6,-10.4109780706699
7,-12.3399849930905
7,-10.5841823002074
7,-11.8023419904788
7,-1.34240698771375
7,-4.35430498194672
7,-12.637541140806
7,-10.6416734414385
7,-7.32447765454087
7,-13.9927187312783
7,-12.9469904074651
7,-9.50091483805304
7,-12.0534706417297
7,-1.40131003733572
7,-1.43095880192117
7,-15.8199399884503
7,-2.36795972386983
7,-12.001642317068
7,-1.66748498998678
7,-9.96289065172667
7,-15.4769362266613
7,-1.44348280280247
7,-13.7531737203061
7,-13.1545090036147
7,-11.0609740630346
7,-7.28109385924801
7,-2.37995144410011
7,-13.2734996389069
7,-12.5228324653282
7,-1.67723521480838
7,-11.022124847248
7,-12.067936748321
7,-14.0285925222562
7,-14.5032103242389
7,-1.36267834554091
7,-1.66865178663115
7,-5.00655220602084
7,-11.9905040331007
7,-4.40851537779011
7,-11.1695610349235
7,-1.39681452807071
7,-10.9793304289176
7,-12.5676574833916
7,-10.9235516156809
7,-11.4363101258693
7,-6.67301056454128
7,-11.6303302949261
7,-1.93524805855394
7,-4.79430039394168
8,-3.90591151813098
8,-2.08036425039055
8,-11.4784061349032
8,-12.4833259283732
8,-15.9652203424948
8,-15.2781564627185
8,-15.9300347049148
8,-9.80504325273636
8,-11.3128044505023
8,-11.3762699329749
8,-1.82270177906713
8,-14.1232740868464
8,-11.0415494550836
8,-10.752438588404
8,-12.1683196123343
8,-10.6013066832727
8,-2.22773295880419
8,-1.28448754922552
8,-5.52250166639368
8,-1.76056145488803
8,-8.64836170234907
8,-1.3547707618602
8,-11.1667880120289
8,-1.64084278469234
8,-13.967690002385
8,-3.32868472662997
8,-1.90445230528797
8,-1.47988893436764
8,-13.9014902041178
8,-10.241358901548
8,-2.88610321757733
8,-13.4799655667429
8,-11.0998465368336
8,-11.5737428752802
8,-11.4936871642583
8,-12.3657226777687
8,-2.74882694782046
8,-1.72169319647712
8,-15.9082698198594
8,-6.01360340994128
8,-13.7358256052129
8,-7.0859394770427
8,-10.9778543301358
8,-7.94782532762023
8,-1.83643935241338
8,-3.06646417933378
8,-1.58081666912377
8,-2.59546474172852
9,-2.31836885488349
9,-1.67489418792421
9,-1.37078482514264
9,-5.38620673601216
9,-11.3055904205377
9,-13.4348826113063
9,-1.82259654434329
9,-1.65756550200573
9,-1.83603202531939
9,-10.8066502354036
9,-11.6732090175242
9,-1.55313264830922
9,-9.97806482397241
9,-1.55559396918508
9,-1.91728159061921
9,-2.13873682915996
9,-5.52250166639904
9,-1.38084670425648
9,-1.55869681034445
9,-2.66739204696446
9,-12.3572425290832
9,-6.45260183368851
9,-5.52250166642332
9,-5.52250166638092
9,-1.3558821946822
9,-1.66723777013762
9,-2.58818129556703
9,-1.83765529266173
9,-3.35259533589739
9,-2.5062212577045
9,-1.55571009009328
9,-10.7484491378488
9,-11.4312293406157
9,-6.97109135112949
9,-2.73895906740679
9,-13.865290903452
