name,sname,speed,code,i1,i2,i3,i4,i5,i6,phi,nodal
aSa,aSa,0.04106666875,ZZAZZYZ,0,0,1,0,0,-1,0,z
Sa,Sa,0.04106863,ZZAZZZZ,0,0,1,0,0,0,0,z
Ssa,Ssa,0.08213726,ZZBZZZZ,0,0,2,0,0,0,0,z
Sta,Sta,0.12320392875,ZZCZZYY,0,0,3,0,0,-1,270,x
MSm,MSm,0.471521118,ZAXAZZZ,0,1,-2,1,0,0,0,x
Mnum,Mnum,0.471521118,ZAXAZZZ,0,1,-2,1,0,0,0,x
Mm,Mm,0.544374622,ZAZYZZZ,0,1,0,-1,0,0,0,y
MSf,MSf,1.01589574,ZBXZZZZ,0,2,-2,0,0,0,0,b
MSo,MSo,1.01589574,ZBXZZZZ,0,2,-2,0,0,0,0,b
SM,SM,1.01589574,ZBXZZZZ,0,2,-2,0,0,0,0,x
Mf,Mf,1.098033,ZBZZZZZ,0,2,0,0,0,0,0,y
KOo,KOo,1.098033,ZBZZZZZ,0,2,0,0,0,0,0,x
MKo,MKo,1.098033,ZBZZZZZ,0,2,0,0,0,0,0,x
Snu,Snu,1.487416858,ZCVAZZZ,0,3,-4,1,0,0,0,x
SN,SN,1.560270362,ZCXYZZZ,0,3,-2,-1,0,0,0,x
MStm,MStm,1.569554118,ZCXAZZZ,0,3,-2,1,0,0,0,x
Mfm,Mfm,1.642407622,ZCZYZZZ,0,3,0,-1,0,0,0,a
2SM,2SM,2.03179148,ZDVZZZZ,0,4,-4,0,0,0,0,c
MSqm,MSqm,2.11392874,ZDXZZZZ,0,4,-2,0,0,0,0,b
Mqm,Mqm,2.186782244,ZDZXZZZ,0,4,0,-2,0,0,0,m
2SMN,2SMN,2.576166102,ZEVYZZZ,0,5,-4,-1,0,0,0,x
2Q1,2Q1,12.854286356,AWZBZZY,1,-3,0,2,0,0,270,o
1N.1j1,NJ1,12.854286356,AWZBZZY,1,-3,0,2,0,0,270,x
1V.1j1,nuJ1,12.92713986,AWBZZZY,1,-3,2,0,0,0,270,o
sig1,sig1,12.92713986,AWBZZZY,1,-3,2,0,0,0,270,o
Q1,Q1,13.398660978,AXZAZZY,1,-2,0,1,0,0,270,o
1N.1k1,NK1,13.398660978,AXZAZZZ,1,-2,0,1,0,0,0,x
rho1,rho1,13.471514482,AXBYZZY,1,-2,2,-1,0,0,270,o
1V.1k1,nuK1,13.471514482,AXBYZZY,1,-2,2,-1,0,0,270,x
O1,O1,13.9430356,AYZZZZY,1,-1,0,0,0,0,270,y
1M.1k1,MK1,13.9430356,AYZZZZY,1,-1,0,0,0,0,270,x
1M.1s1,MS1,13.98410423,AYAZZZB,1,-1,1,0,0,0,180,x
x1M.1p1,xMP1,14.02517286,AYBZZZZ,1,-1,2,0,0,0,0,m
1M.1p1,MP1,14.02517286,AYBZZZA,1,-1,2,0,0,0,90,m
tau1,tau1,14.02517286,AYBZZZA,1,-1,2,0,0,0,90,k
xM1B,xM1B,14.487410222,AZZYZZY,1,0,0,-1,0,0,270,y
M1B,M1B,14.487410222,AZZYZZA,1,0,0,-1,0,0,90,Y
M1C,M1C,14.4920521,AZZZZZZ,1,0,0,0,0,0,0,Y
xM1,xM1,14.4920521,AZZZZZA,1,0,0,0,0,0,90,Y
M1,M1,14.4920521,AZZZZZB,1,0,0,0,0,0,180,Y
1N.1o1,NO1,14.496693978,AZZAZZA,1,0,0,1,0,0,90,X
M1A,M1A,14.496693978,AZZAZZA,1,0,0,1,0,0,90,Y
aM1,aM1,14.496693978,AZZAZZA,1,0,0,1,0,0,90,y
1L.1p1,LP1,14.569547482,AZBYZZY,1,0,2,-1,0,0,270,x
chi1,chi1,14.569547482,AZBYZZA,1,0,2,-1,0,0,90,j
pi1,pi1,14.91786467125,AAWZZAY,1,1,-3,0,0,1,270,z
1T.1k1,TK1,14.91786467125,AAWZZAY,1,1,-3,0,0,1,270,x
P1,P1,14.95893134,AAXZZZY,1,1,-2,0,0,0,270,z
1S.1k1,SK1,14.95893134,AAXZZZZ,1,1,-2,0,0,0,0,x
xS1,xS1,14.99999997,AAYZZZZ,1,1,-1,0,0,0,0,z
S1,S1,14.99999997,AAYZZZB,1,1,-1,0,0,0,180,z
aS1,aS1,15.00000193125,AAYZZAA,1,1,-1,0,0,1,90,z
1S.1p1,SP1,15.0410686,AAZZZZZ,1,1,0,0,0,0,0,x
xK1,xK1,15.0410686,AAZZZZZ,1,1,0,0,0,0,0,y
1M.1o1,MO1,15.0410686,AAZZZZZ,1,1,0,0,0,0,0,x
K1,K1,15.0410686,AAZZZZA,1,1,0,0,0,0,90,y
1R.1p1,RP1,15.08213526875,AAAZZYY,1,1,1,0,0,-1,270,x
psi1,psi1,15.08213526875,AAAZZYA,1,1,1,0,0,-1,90,z
phi1,phi1,15.12320586,AABZZZA,1,1,2,0,0,0,90,j
1K.1p1,KP1,15.12320586,AABZZZA,1,1,2,0,0,0,90,x
1D.1o1,lamO1,15.512589718,ABXAZZY,1,2,-2,1,0,0,270,x
the1,the1,15.512589718,ABXAZZA,1,2,-2,1,0,0,90,j
1M.1q1,MQ1,15.585443222,ABZYZZZ,1,2,0,-1,0,0,0,x
J1,J1,15.585443222,ABZYZZA,1,2,0,-1,0,0,90,y
2p.1o1,2PO1,15.97482708,ACVZZZY,1,3,-4,0,0,0,270,x
x1S.1o1,xSO1,16.05696434,ACXZZZZ,1,3,-2,0,0,0,0,x
1S.1o1,SO1,16.05696434,ACXZZZA,1,3,-2,0,0,0,90,x
OO1,OO1,16.1391016,ACZZZZA,1,3,0,0,0,0,90,d
ups1,ups1,16.683476222,ADZYZZA,1,4,0,-1,0,0,90,d
1K.1q1,KQ1,16.683476222,ADZYZZA,1,4,0,-1,0,0,90,x
2M1N.2S2,2MN2S2,26.407938098,BUDAZZZ,2,-5,4,1,0,0,0,x
3M.1S1K2,3M(SK)2,26.87017546,BVBZZZZ,2,-4,2,0,0,0,0,x
x3M.1S1K2,3MKS2,26.87017546,BVBZZZZ,2,-4,2,0,0,0,0,x
2N.1S2,2NS2,26.879459216,BVBBZZZ,2,-4,2,2,0,0,0,x
3M.2S2,3M2S2,26.95231272,BVDZZZZ,2,-4,4,0,0,0,0,x
2N1K.2S2,2NK2S2,26.961596476,BVDBZZZ,2,-4,4,2,0,0,0,x
1o1q.2,OQ2,27.341696578,BWZAZZZ,2,-3,0,1,0,0,0,x
1M1N.1K2,MNK2,27.341696578,BWZAZZZ,2,-3,0,1,0,0,0,x
x1o1q.2,xOQ2,27.341696578,BWZAZZB,2,-3,0,1,0,0,180,x
1M1N.1S2,MNS2,27.423833838,BWBAZZZ,2,-3,2,1,0,0,0,x
eps2,eps2,27.423833838,BWBAZZZ,2,-3,2,1,0,0,0,m
1M1V.1S2,MnuS2,27.496687342,BWDYZZZ,2,-3,4,-1,0,0,0,x
2M1L.2S2,2ML2S2,27.496687342,BWDYZZB,2,-3,4,-1,0,0,180,x
1M1N1K.2S2,MNK2S2,27.505971098,BWDAZZZ,2,-3,4,1,0,0,0,x
2M1S.2K2,2MS2K2,27.80393394,BXXZZZZ,2,-2,-2,0,0,0,0,x
2M.1K2,2MK2,27.8860712,BXZZZZZ,2,-2,0,0,0,0,0,x
O2,O2,27.8860712,BXZZZZZ,2,-2,0,0,0,0,0,x
1N1L.1K2,NLK2,27.8860712,BXZZZZB,2,-2,0,0,0,0,180,x
2N2,2N2,27.895354956,BXZBZZZ,2,-2,0,2,0,0,0,m
mu2,mu2,27.96820846,BXBZZZZ,2,-2,2,0,0,0,0,m
2M.1S2,2MS2,27.96820846,BXBZZZZ,2,-2,2,0,0,0,0,x
1S1N.1K2,SNK2,28.357592318,BYXAZZZ,2,-1,-2,1,0,0,0,x
NA2,NA2,28.398660948,BYYAZZZ,2,-1,-1,1,0,0,0,f
aNA2,aNA2,28.39866290925,BYYAZAZ,2,-1,-1,1,0,1,0,f
N2,N2,28.439729578,BYZAZZZ,2,-1,0,1,0,0,0,m
1k1q.2,KQ2,28.439729578,BYZAZZZ,2,-1,0,1,0,0,0,x
NB2,NB2,28.48079624675,BYAAZYZ,2,-1,1,1,0,-1,0,f
NA2*,NA2*,28.480798208,BYAAZZZ,2,-1,1,1,0,0,0,f
nu2,nu2,28.512583082,BYBYZZZ,2,-1,2,-1,0,0,0,m
2K1N.2S2,2KN2S2,28.604004098,BYDAZZZ,2,-1,4,1,0,0,0,x
1M1S.1K2,MSK2,28.90196694,BZXZZZZ,2,0,-2,0,0,0,0,x
1o1p.2,OP2,28.90196694,BZXZZZZ,2,0,-2,0,0,0,0,x
x1o1p.2,xOP2,28.90196694,BZXZZZB,2,0,-2,0,0,0,180,x
gam2,gam2,28.911250696,BZXBZZB,2,0,-2,2,0,0,180,y
MA2,MA2,28.94303557,BZYZZZZ,2,0,-1,0,0,0,0,f
1M1p.1s2,MPS2,28.94303557,BZYZZZA,2,0,-1,0,0,0,90,x
alp2,alp2,28.94303753125,BZYZZAB,2,0,-1,0,0,1,180,y
1M1s.1k2,M(SK)2,28.94303753125,BZYZZAB,2,0,-1,0,0,1,180,x
M2,M2,28.9841042,BZZZZZZ,2,0,0,0,0,0,0,y
1k1o.2,KO2,28.9841042,BZZZZZZ,2,0,0,0,0,0,0,x
1M1k.1s2,M(KS)2,29.02517086875,BZAZZYZ,2,0,1,0,0,-1,0,x
1M1s.1p2,MSP2,29.02517283,BZAZZZY,2,0,1,0,0,0,270,x
MB2,MB2,29.02517283,BZAZZZZ,2,0,1,0,0,0,0,f
MA2*,MA2*,29.02517283,BZAZZZZ,2,0,1,0,0,0,0,f
1M1K.1S2,MKS2,29.06624146,BZBZZZZ,2,0,2,0,0,0,0,x
del2,del2,29.06624146,BZBZZZZ,2,0,2,0,0,0,0,y
2K1M.2S2,M2(KS)2,29.14837872,BZDZZZZ,2,0,4,0,0,0,0,x
x2K1M.2S2,2KM2S2,29.14837872,BZDZZZZ,2,0,4,0,0,0,0,x
2S1N.1M1K2,2SN(MK)2,29.373488058,BAVAZZZ,2,1,-4,1,0,0,0,x
lam2,lam2,29.455625318,BAXAZZB,2,1,-2,1,0,0,180,m
L2,L2,29.528478822,BAZYZZB,2,1,0,-1,0,0,180,y
2M.1N2,2MN2,29.528478822,BAZYZZB,2,1,0,-1,0,0,180,x
L2A,L2A,29.528478822,BAZYZZB,2,1,0,-1,0,0,180,p
L2B,L2B,29.537762578,BAZAZZZ,2,1,0,1,0,0,0,q
1N1K.1M2,NKM2,29.537762578,BAZAZZZ,2,1,0,1,0,0,0,x
2S.1K2,2SK2,29.91786268,BBVZZZZ,2,2,-4,0,0,0,0,x
T2,T2,29.95893327125,BBWZZAZ,2,2,-3,0,0,1,0,z
S2,S2,29.99999994,BBXZZZZ,2,2,-2,0,0,0,0,z
1k1p.2,KP2,29.99999994,BBXZZZZ,2,2,-2,0,0,0,0,x
R2,R2,30.04106660875,BBYZZYB,2,2,-1,0,0,-1,180,z
K2,K2,30.0821372,BBZZZZZ,2,2,0,0,0,0,0,y
