"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/03/01","00:00","-0.949","-","-0.98"
"2018/03/01","00:06","-0.968","-","-0.98"
"2018/03/01","00:12","-0.98","-","-1.03"
"2018/03/01","00:18","-0.985","-","-1.05"
"2018/03/01","00:24","-0.982","-","-1.03"
"2018/03/01","00:30","-0.973","-","-1.04"
"2018/03/01","00:36","-0.956","-","-1.04"
"2018/03/01","00:42","-0.933","-","-1.04"
"2018/03/01","00:48","-0.904","-","-1.03"
"2018/03/01","00:54","-0.867","-","-1.03"
"2018/03/01","01:00","-0.825","-","-1.02"
"2018/03/01","01:06","-0.776","-","-0.97"
"2018/03/01","01:12","-0.721","-","-0.89"
"2018/03/01","01:18","-0.661","-","-0.81"
"2018/03/01","01:24","-0.594","-","-0.73"
"2018/03/01","01:30","-0.522","-","-0.64"
"2018/03/01","01:36","-0.445","-","-0.51"
"2018/03/01","01:42","-0.363","-","-0.43"
"2018/03/01","01:48","-0.277","-","-0.35"
"2018/03/01","01:54","-0.185","-","-0.29"
"2018/03/01","02:00","-0.09","-","-0.21"
"2018/03/01","02:06","0.01","-","-0.1"
"2018/03/01","02:12","0.114","-","0.01"
"2018/03/01","02:18","0.221","-","0.1"
"2018/03/01","02:24","0.332","-","0.24"
"2018/03/01","02:30","0.446","-","0.39"
"2018/03/01","02:36","0.563","-","0.47"
"2018/03/01","02:42","0.682","-","0.58"
"2018/03/01","02:48","0.804","-","0.72"
"2018/03/01","02:54","0.928","-","0.89"
"2018/03/01","03:00","1.054","-","1.02"
"2018/03/01","03:06","1.182","-","1.19"
"2018/03/01","03:12","1.312","-","1.34"
"2018/03/01","03:18","1.443","-","1.49"
"2018/03/01","03:24","1.576","-","1.65"
"2018/03/01","03:30","1.709","-","1.81"
"2018/03/01","03:36","1.844","-","1.93"
"2018/03/01","03:42","1.979","-","2.08"
"2018/03/01","03:48","2.115","-","2.17"
"2018/03/01","03:54","2.252","-","2.32"
"2018/03/01","04:00","2.388","-","2.48"
"2018/03/01","04:06","2.525","-","2.59"
