Year,Month,NumQuestions
"2025","1","2967"
"2024","12","25566"
"2024","11","26832"
"2024","10","30428"
"2024","9","32376"
"2024","8","36010"
"2024","7","42219"
"2024","6","41616"
"2024","5","53611"
"2024","4","56696"
"2024","3","58792"
"2024","2","60093"
"2024","1","60270"
"2023","12","42716"
"2023","11","50671"
"2023","10","52739"
"2023","9","53069"
"2023","8","60302"
"2023","7","62857"
"2023","6","63752"
"2023","5","66566"
"2023","4","68440"
"2023","3","87105"
"2023","2","85435"
"2023","1","96377"
"2022","12","95782"
"2022","11","108563"
"2022","10","105137"
"2022","9","102548"
"2022","8","111604"
"2022","7","109657"
"2022","6","110192"
"2022","5","114734"
"2022","4","112689"
"2022","3","121666"
"2022","2","112250"
"2022","1","117504"
"2021","12","110406"
"2021","11","117274"
"2021","10","116834"
"2021","9","117698"
"2021","8","119900"
"2021","7","121726"
"2021","6","126639"
"2021","5","131289"
"2021","4","133383"
"2021","3","145989"
"2021","2","129135"
"2021","1","136828"
"2020","12","131139"
"2020","11","131969"
"2020","10","138653"
"2020","9","138847"
"2020","8","144858"
"2020","7","162064"
"2020","6","167817"
"2020","5","182361"
"2020","4","178826"
"2020","3","152571"
"2020","2","141927"
"2020","1","143709"
"2019","12","129621"
"2019","11","145054"
"2019","10","149474"
"2019","9","134038"
"2019","8","134205"
"2019","7","147950"
"2019","6","133042"
"2019","5","148177"
"2019","4","150309"
"2019","3","157678"
"2019","2","143225"
"2019","1","146287"
"2018","12","129090"
"2018","11","146362"
"2018","10","156822"
"2018","9","141384"
"2018","8","155132"
"2018","7","156299"
"2018","6","151350"
"2018","5","163954"
"2018","4","158998"
"2018","3","169537"
"2018","2","149804"
"2018","1","156907"
"2017","12","142102"
"2017","11","165479"
"2017","10","166236"
"2017","9","158760"
"2017","8","173592"
"2017","7","175909"
"2017","6","174566"
"2017","5","182728"
"2017","4","174991"
"2017","3","197405"
"2017","2","171907"
"2017","1","173445"
"2016","12","159275"
"2016","11","172061"
"2016","10","172003"
"2016","9","168551"
"2016","8","178869"
"2016","7","173923"
"2016","6","181072"
"2016","5","185878"
"2016","4","193035"
"2016","3","197801"
"2016","2","185240"
"2016","1","177936"
"2015","12","169236"
"2015","11","174816"
"2015","10","183000"
"2015","9","174824"
"2015","8","178428"
"2015","7","192346"
"2015","6","184875"
"2015","5","182677"
"2015","4","186943"
"2015","3","186648"
"2015","2","165532"
"2015","1","163139"
"2014","12","152692"
"2014","11","163831"
"2014","10","170061"
"2014","9","163486"
"2014","8","160859"
"2014","7","174423"
"2014","6","159915"
"2014","5","172996"
"2014","4","190438"
"2014","3","203607"
"2014","2","184504"
"2014","1","185620"
"2013","12","162353"
"2013","11","173205"
"2013","10","181029"
"2013","9","162734"
"2013","8","167306"
"2013","7","173490"
"2013","6","155484"
"2013","5","163745"
"2013","4","168431"
"2013","3","170509"
"2013","2","150409"
"2013","1","155141"
"2012","12","133150"
"2012","11","145832"
"2012","10","147667"
"2012","9","130132"
"2012","8","139186"
"2012","7","139641"
"2012","6","128180"
"2012","5","131265"
"2012","4","125820"
"2012","3","130866"
"2012","2","121231"
"2012","1","113526"
"2011","12","101252"
"2011","11","106634"
"2011","10","99303"
"2011","9","100182"
"2011","8","105185"
"2011","7","98945"
"2011","6","97659"
"2011","5","98844"
"2011","4","94140"
"2011","3","99345"
"2011","2","81577"
"2011","1","78434"
"2010","12","68404"
"2010","11","68428"
"2010","10","62680"
"2010","9","60290"
"2010","8","62682"
"2010","7","59843"
"2010","6","54879"
"2010","5","51060"
"2010","4","49262"
"2010","3","51091"
"2010","2","43723"
"2010","1","43839"
"2009","12","36729"
"2009","11","37204"
"2009","10","34009"
"2009","9","28969"
"2009","8","28104"
"2009","7","27731"
"2009","6","24312"
"2009","5","22210"
"2009","4","18451"
"2009","3","17779"
"2009","2","15368"
"2009","1","13853"
"2008","12","10607"
"2008","11","11086"
"2008","10","13239"
"2008","9","12947"
"2008","8","3634"
"2008","7","4"
