time_tick,x_durable_0,x_transient_0,y,ext_regressors
0,0,0,43.0,"x_durable: 0, x_transient: 0"
1,0,0,47.0,"x_durable: 0, x_transient: 0"
2,0,0,39.0,"x_durable: 0, x_transient: 0"
3,0,0,46.0,"x_durable: 0, x_transient: 0"
4,1,0,52.0,"x_durable: 1, x_transient: 0"
5,0,0,61.0,"x_durable: 0, x_transient: 0"
6,0,0,69.0,"x_durable: 0, x_transient: 0"
7,0,0,76.0,"x_durable: 0, x_transient: 0"
8,0,0,80.0,"x_durable: 0, x_transient: 0"
9,0,0,76.0,"x_durable: 0, x_transient: 0"
10,0,0,84.0,"x_durable: 0, x_transient: 0"
11,0,0,89.0,"x_durable: 0, x_transient: 0"
12,0,0,88.0,"x_durable: 0, x_transient: 0"
13,0,0,87.0,"x_durable: 0, x_transient: 0"
14,-1,0,81.0,"x_durable: -1, x_transient: 0"
15,0,0,64.0,"x_durable: 0, x_transient: 0"
16,0,0,58.0,"x_durable: 0, x_transient: 0"
17,0,0,44.0,"x_durable: 0, x_transient: 0"
18,0,0,31.0,"x_durable: 0, x_transient: 0"
19,0,0,15.0,"x_durable: 0, x_transient: 0"
20,0,0,7.0,"x_durable: 0, x_transient: 0"
21,0,0,0.0,"x_durable: 0, x_transient: 0"
22,0,0,0.0,"x_durable: 0, x_transient: 0"
23,0,0,0.0,"x_durable: 0, x_transient: 0"
24,0,0,0.0,"x_durable: 0, x_transient: 0"
25,0,0,0.0,"x_durable: 0, x_transient: 0"
26,0,0,3.0,"x_durable: 0, x_transient: 0"
27,0,0,0.0,"x_durable: 0, x_transient: 0"
28,0,0,8.0,"x_durable: 0, x_transient: 0"
29,0,0,15.0,"x_durable: 0, x_transient: 0"
30,0,0,27.0,"x_durable: 0, x_transient: 0"
31,0,2,67.0,"x_durable: 0, x_transient: 2"
32,0,0,38.0,"x_durable: 0, x_transient: 0"
33,0,0,44.0,"x_durable: 0, x_transient: 0"
34,0,0,55.0,"x_durable: 0, x_transient: 0"
35,0,0,66.0,"x_durable: 0, x_transient: 0"
36,0,0,66.0,"x_durable: 0, x_transient: 0"
37,0,2,111.0,"x_durable: 0, x_transient: 2"
38,0,-1,60.0,"x_durable: 0, x_transient: -1"
39,0,0,81.0,"x_durable: 0, x_transient: 0"
40,0,0,83.0,"x_durable: 0, x_transient: 0"
41,0,0,85.0,"x_durable: 0, x_transient: 0"
42,0,0,95.0,"x_durable: 0, x_transient: 0"
43,0,0,91.0,"x_durable: 0, x_transient: 0"
44,0,0,89.0,"x_durable: 0, x_transient: 0"
45,0,0,88.0,"x_durable: 0, x_transient: 0"
46,0,0,79.0,"x_durable: 0, x_transient: 0"
47,0,0,74.0,"x_durable: 0, x_transient: 0"
48,0,0,68.0,"x_durable: 0, x_transient: 0"
49,0,2,94.0,"x_durable: 0, x_transient: 2"
50,0,0,54.0,"x_durable: 0, x_transient: 0"
51,0,0,43.0,"x_durable: 0, x_transient: 0"
52,0,0,36.0,"x_durable: 0, x_transient: 0"
53,0,0,32.0,"x_durable: 0, x_transient: 0"
54,0,0,19.0,"x_durable: 0, x_transient: 0"
55,0,0,21.0,"x_durable: 0, x_transient: 0"
56,0,-2,0.0,"x_durable: 0, x_transient: -2"
57,0,0,2.0,"x_durable: 0, x_transient: 0"
58,0,0,0.0,"x_durable: 0, x_transient: 0"
59,0,0,0.0,"x_durable: 0, x_transient: 0"
60,0,2,26.0,"x_durable: 0, x_transient: 2"
61,0,0,0.0,"x_durable: 0, x_transient: 0"
62,0,0,0.0,"x_durable: 0, x_transient: 0"
63,0,0,0.0,"x_durable: 0, x_transient: 0"
64,0,0,0.0,"x_durable: 0, x_transient: 0"
