Year,Quelccaya Ice Core summit  Ice O-18,Quelccaya Ice Core summit  Ice accumulation,Quelccaya Ice Core #2  Ice O-18,Quelccaya Ice Core #2  Ice accumulation,Svalbard Ice melt,west Greenland Ice o-18,tasmania tree ring width,north patagonia tree ring width,NA treeline ring widths,Southeast U.S-N. Carolina  Dendro ring widths,Southeast U.S-S. Carolina  Dendro ring widths,Southeast U.S-Georgia Dendro ring widths,Yakutia Dendro ring widths,Fennoscandia Dendro density,Northern Urals Dendro density
1400,-17.00,0.94,-18.40,1.32,34.90,-0.56,14.60,-0.36,0.72,374.00,455.00,428.00,7.81,-0.55,0.38
1401,-16.80,1.25,-17.60,1.58,39.50,-0.64,14.60,-0.54,0.72,265.00,344.00,354.00,8.80,0.14,-0.02
1402,-16.50,1.25,-17.10,1.05,44.20,0.37,14.80,0.06,0.72,240.00,425.00,443.00,6.00,0.68,-0.29
1403,-15.70,1.25,-17.40,0.78,48.80,0.25,14.50,0.91,0.72,349.00,372.00,340.00,6.61,0.59,-1.81
1404,-15.20,0.93,-17.30,1.56,51.40,-0.49,14.30,0.11,0.72,324.00,383.00,429.00,7.34,0.88,-0.81
1405,-19.00,1.09,-17.50,1.04,52.70,-0.04,15.40,-0.24,0.87,318.00,368.00,381.00,4.84,0.91,-0.59
1406,-20.10,1.55,-17.40,0.78,54.00,0.54,15.50,0.02,1.03,363.00,403.00,402.00,4.83,0.82,0.27
1407,-17.90,1.24,-18.30,1.55,57.40,-0.04,15.20,-0.33,1.03,238.00,273.00,317.00,5.78,0.76,-1.12
1408,-17.70,1.24,-18.90,1.54,66.10,0.57,15.70,-0.06,1.20,358.00,450.00,410.00,7.03,0.58,-0.46
1409,-17.30,0.93,-17.60,1.28,74.70,0.39,15.30,0.57,1.05,270.00,325.00,352.00,6.29,0.62,0.11
1410,-17.10,1.38,-17.40,1.28,83.40,0.33,14.80,-0.46,1.17,291.00,337.00,374.00,5.55,0.59,-2.57
1411,-16.10,1.69,-17.00,1.27,71.50,0.53,14.80,-0.13,1.08,314.00,346.00,393.00,7.25,1.48,-1.68
1412,-18.50,1.23,-17.20,1.27,58.10,0.69,14.20,0.66,1.21,197.00,362.00,400.00,7.58,-0.24,0.41
