mission number	shot number	hit probability	hit	grenade	rocket	headshot	weapon type
1	1	45	1				projectile
1	2	65	0				projectile
1	3	100	1	1			projectile
1	4	100	1	1			projectile
1	5	100	1	1			projectile
1	6	100	1	1			projectile
2	7	25	0				projectile
2	8	100	1	1			projectile
2	9	97	1				projectile
2	10	68	1				projectile
3	11	65	1				projectile
3	12	25	0				projectile
3	13	25	0				projectile
3	14	55	1				projectile
3	15	100	1				projectile
3	16	100	1				projectile
3	17	48	0				projectile
3	18	27	0				projectile
3	19	91	1				projectile
3	20	45	0				projectile
3	21	45	1				projectile
3	22	65	0				projectile
3	23	65	1				projectile
3	24	65	0				projectile
3	25	82	1				projectile
4	26	55	1				projectile
4	27	100	1	1			projectile
4	28	70	1				projectile
4	29	53	1				projectile
4	30	100	1				projectile
4	31	46	1				projectile
4	32	30	1				projectile
4	33	30	1				projectile
4	34	35	1				projectile
5	35	100	1				projectile
5	36	100	1	1			projectile
5	37	35	0				projectile
5	38	30	0				projectile
5	39	35	0				projectile
5	40	100	1	1			projectile
5	41	53	1				projectile
5	42	50	1				projectile
5	43	100	1	1			projectile
5	44	75	1				projectile
6	45	83	0				projectile
6	46	100	1	1			projectile
6	47	85	1				projectile
6	48	100	1				projectile
6	49	95	1				projectile
6	50	58	1				projectile
6	51	53	0				projectile
6	52	53	1				projectile
6	53	100	1	1			projectile
6	54	96	1				projectile
6	55	100	1	1			projectile
6	56	45	1				projectile
7	57	100	1	1			projectile
7	58	55	1			1	projectile
7	59	61	1				projectile
7	60	75	1			1	projectile
7	61	100	1				projectile
7	62	100	1				projectile
7	63	80	1				projectile
7	64	100	1	1			projectile
7	65	100	1	1			projectile
8	66	45	0				projectile
8	67	74	1				projectile
8	68	79	1				projectile
8	69	25	0				projectile
8	70	55	1			1	projectile
8	71	64	1				projectile
8	72	78	1				projectile
9	73	84	1			1	projectile
9	74	75	1			1	projectile
9	75	91	1				projectile
9	76	86	0				projectile
9	77	88	1				projectile
9	78	85	1				projectile
9	79	94	1				projectile
9	80	65	1				projectile
9	81	45	1				projectile
9	82	100	1				projectile
9	83	76	1				projectile
9	84	74	1				projectile
9	85	54	0				projectile
9	86	54	1			1	projectile
10	87	78	1			1	projectile
10	88	48	0			1	projectile
10	89	90	1		1		projectile
10	90	100	1	1			projectile
10	91	100	1	1			projectile
10	92	78	1				projectile
10	93	38	0				projectile
10	94	100	1	1			projectile
10	95	55	1				projectile
10	96	97	1				projectile
10	97	25	0				projectile
10	98	54	1				projectile
10	99	88	1				projectile
10	100	78	1			1	projectile
10	101	68	1			1	projectile
10	102	78	1				projectile
10	103	68	0				projectile
10	104	45	1				projectile
10	105	100	1				projectile
11	106	71	0			1	projectile
11	107	78	1			1	projectile
11	108	56	0				projectile
11	109	71	1				projectile
11	110	58	1				projectile
11	111	56	1				projectile
11	112	62	0				projectile
11	113	28	0				projectile
11	114	71	1			1	projectile
11	115	85	1				projectile
11	116	78	1			1	projectile
11	117	74	1				projectile
11	118	62	1				projectile
12	119	48	1				projectile
12	120	82	1				laser
12	121	68	1				laser
12	122	38	0				laser
12	123	100	1				laser
12	124	70	1				laser
12	125	74	0			1	laser
12	126	48	0				projectile
12	127	85	1			1	laser
12	128	100	1				laser
12	129	65	1				laser
13	130	39	1				laser
13	131	85	1				laser
13	132	78	0				laser
13	133	70	1				laser
13	134	90	0				laser
13	135	100	1				laser
13	136	100	1				laser
13	137	66	1				laser
13	138	100	1				laser
13	139	100	1				laser
13	140	84	1				projectile
14	141	38	0				laser
14	142	54	1				laser
14	143	90	1		1		projectile
14	144	90	1		1		projectile
14	145	80	1				laser
14	146	95	1				laser
14	147	79	1				laser
14	148	54	0				laser
14	149	75	1				laser
14	150	64	1				laser
14	151	0	0		1		projectile
14	152	51	0				projectile
14	153	42	0				laser
14	154	59	1				laser
14	155	53	1				laser
15	156	90	1		1		projectile
15	157	90	1		1		projectile
15	158	68	0				laser
15	159	80	1				laser
15	160	100	1				laser
15	161	50	1				laser
15	162	78	1				laser
15	163	74	1				laser
15	164	40	0				projectile
15	165	90	1		1		projectile
15	166	78	0				laser
15	167	90	1		1		projectile
16	168	78	1				laser
16	169	31	0				laser
16	170	58	1				laser
16	171	100	1				laser
16	172	100	1				laser
16	173	90	1				arc thrower
17	174	100	1				laser
17	175	98	1				laser
17	176	61	0				laser
17	177	83	1				laser
17	178	88	0				laser
17	179	66	1				laser
17	180	89	1				laser
17	181	100	1				laser
17	182	73	1				laser
17	183	57	0				laser
17	184	90	1		1		projectile
17	185	68	1				laser
17	186	95	1				laser
17	187	100	1				laser
17	188	58	1				laser
17	189	65	0			1	laser
17	190	53	1				laser
17	191	100	1				laser
17	192	81	1				laser
17	193	100	1				laser
17	194	100	1			1	laser
17	195	100	1				laser
18	196	75	1			1	laser
18	197	60	1				laser
18	198	78	1				laser
18	199	72	0				laser
18	200	60	1				laser
18	201	55	0				laser
18	202	57	1				projectile
18	203	68	1				laser
18	204	60	1				laser
18	205	79	1				laser
18	206	50	0				laser
18	207	86	1				projectile
18	208	96	1				laser
18	209	90	1		1		projectile
18	210	75	0			1	laser
18	211	66	1				laser
18	212	90	1		1		projectile
18	213	66	1				laser
18	214	100	1	1			projectile
18	215	90	1				laser
18	216	78	1				laser
18	217	66	1				laser
18	218	63	1				laser
18	219	88	1				laser
19	220	69	1				laser
19	221	70	1				laser
19	222	38	0			1	laser
19	223	65	0			1	laser
19	224	65	1				laser
19	225	90	1		1		projectile
19	226	72	1				laser
19	227	100	1				laser
19	228	90	0		1		projectile
19	229	85	1			1	laser
19	230	58	0				laser
19	231	76	1				laser
19	232	85	0				laser
19	233	45	0				laser
19	234	63	1				laser
19	235	76	1				laser
19	236	66	1				laser
19	237	69	0				laser
19	238	92	1				laser
19	239	80	1				arc thrower
20	240	16	1				laser
20	241	35	1				laser
20	242	35	0				laser
20	243	90	1		1		projectile
20	244	37	0				laser
20	245	40	1				laser
20	246	41	0				laser
20	247	37	0				laser
20	248	48	0				laser
20	249	73	1				laser
20	250	37	1				laser
20	251	70	1				arc thrower
