I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
6697	Tsu	1500															USA	HI	HAWAII			150														2										
6013	Tsu	1668	4	13												4	USA	MA	BOSTON AND SALEM, MASSACHUSETTS	  42.350	  -71.050	150																								
9954	Tsu	1700	1	27	5	0			 9.0		 9.0						USA	OR	CASCADIA SUBDUCTION ZONE	  45.000	 -125.000	150														1						3				
5828	Tsu	1755	11	18	9	11	 35.0		 7.0				7			8	USA	MA	MASSACHUSETTS:  EAST OF CAPE ANN	  42.700	  -70.300	150								2																
5926	Tsu	1788	7	21					 8.0		 8.0					7	USA	AK	ALASKA PENINSULA: UNGA ISLAND	  57.000	 -153.000	150														3						1		1		
5927	Tsu	1788	8	6					 8.0		 8.0						USA	AK	ALASKA PENINSULA	  55.000	 -161.000	150														3										
7057	Tsu	1792														7	USA	AK	ALASKA:  KODIAK ISLAND	  57.000	 -152.000	150								1												1				
5857	Tsu	1806	3	25	8											6	USA	CA	CALIFORNIA:  SANTA BARBARA	  34.400	 -119.700	150								1												1				
1594	Tsu	1811	12	16	8	15			 8.5		 8.5			7.2		11	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	  35.600	  -90.400	150		1						3						1						3				
7058	Tsu	1811	12	16	14	15			 8.0		 8.0			7		10	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	  35.600	  -90.400	150																								
1597	Tsu	1812	1	23	15		    		 8.4		 8.4			7.1		10	USA	MO	MISSOURI:  NEW MADRID	  36.300	  -89.600	150								3																
1598	Tsu	1812	2	7	9	45	    		 8.8		 8.8			7.4			USA	MO	MISSOURI:  NEW MADRID	  36.500	  -89.600	150								3																
