Time Period,Charge-off rate on all loans,Charge-off rate on business loans,Charge-off rate on consumer loans,Charge-off rate on credit card loans,Charge-off rate on other consumer loans,Charge-off rate on loans to finance agricultural production,Charge-off rate on lease financing receivables,Charge-off rate on loans secured by real estate,Charge-off rate on farmland loans,Charge-off rate on single family residential mortgages,Charge-off rate on commercial real estate loans (excluding farmland),Delinquency rate on all loans,Delinquency rate on business loans,Delinquency rate on consumer loans,Delinquency rate on credit card loans,Delinquency rate on other consumer loans,Delinquency rate on loans to finance agricultural production,Delinquency rate on lease financing receivables,Delinquency rate on loans secured by real estate,Delinquency rate on farmland loans,Delinquency rate on single-family residential mortgages,Delinquency rate on commercial real estate loans (excluding farmland)
1987Q2,0.85,1.13,1.56,3.42,0.83,2.22,0.75,0.46,,,,5.38,6.41,3.41,,,8.38,2.1,4.83,,,
1987Q3,0.9,1.03,1.51,3.18,0.81,1.65,0.7,0.47,,,,5.25,6.1,3.41,,,7.65,1.97,4.77,,,
1987Q4,1.04,1.06,1.55,3.26,0.84,1.6,0.77,0.5,,,,5.25,5.95,3.41,,,7.41,1.77,4.89,,,
1988Q1,1.12,1.12,1.51,3.24,0.79,0.84,0.5,0.47,,,,5.07,5.6,3.38,,,6.3,1.67,4.91,,,
1988Q2,1.12,1.29,1.53,3.31,0.79,0.72,0.57,0.7,,,,4.98,5.22,3.36,,,5.83,1.61,4.89,,,
1988Q3,1.05,1.01,1.59,3.28,0.85,0.76,0.42,0.46,,,,5.02,5.16,3.33,,,5.67,1.51,4.8,,,
1988Q4,0.94,0.84,1.5,3.22,0.76,0.1,0.36,0.38,,,,4.62,4.77,3.38,,,5.22,1.4,4.44,,,
1989Q1,1,0.94,1.6,3.16,0.92,0.46,0.51,0.49,,,,4.89,5.04,3.51,,,4.76,1.55,4.82,,,
1989Q2,1,0.83,1.59,3.17,0.87,0.48,0.5,0.51,,,,4.95,4.98,3.6,,,4.71,1.69,4.82,,,
1989Q3,1.02,0.91,1.59,3.09,0.87,0.35,0.48,0.56,,,,5.02,4.99,3.65,,,4.4,1.75,5.01,,,
1989Q4,1.65,1.47,1.68,3.27,0.92,0.25,0.6,0.59,,,,4.9,4.94,3.65,,,4.22,1.86,5.15,,,
1990Q1,1.56,1.3,1.67,3.16,0.99,0.22,0.74,0.7,,,,4.99,4.96,3.66,,,4.16,1.78,5.42,,,
1990Q2,1.57,1.31,1.74,3.22,1.04,0.26,0.6,0.76,,,,5.05,5.15,3.68,,,3.81,1.77,5.73,,,
1990Q3,1.19,1.24,1.84,3.54,0.99,0.24,0.71,0.83,,,,5.34,5.25,3.87,,,3.7,2.04,6.15,,,
1990Q4,1.41,1.36,2.02,3.84,1.13,0.17,0.59,1.09,,,,5.95,6.04,4.07,,,3.63,2.3,7.12,,,
1991Q1,1.45,1.33,2.21,4.22,1.22,0.39,0.87,0.89,0.22,0.21,1.57,6.1,6.08,4.11,5.24,3.56,3.55,2.64,7.42,4.09,3.24,12.06
1991Q2,1.65,1.68,2.33,4.63,1.15,0.34,0.75,1.01,0.27,0.16,1.89,6.16,6.18,4.19,5.45,3.51,3.61,2.55,7.47,4.13,3.31,11.89
1991Q3,1.67,1.83,2.4,4.81,1.11,0.47,0.81,1.07,0.34,0.23,1.98,5.96,5.99,4.14,5.34,3.5,3.48,2.4,7.28,4.27,3.36,11.57
1991Q4,1.64,2.02,2.35,4.66,1.11,0.57,0.75,1.29,0.23,0.22,2.48,5.79,5.8,4.08,5.3,3.46,3.73,2.2,7.09,4.19,3.36,11.48
1992Q1,1.48,1.64,2.39,4.94,1.05,0.37,0.7,1.03,0.25,0.2,1.91,5.51,5.53,3.95,5.26,3.25,3.62,2.09,6.78,4.04,3.27,10.99
1992Q2,1.16,1.18,2.29,4.88,0.94,0.33,0.7,1.01,0.26,0.19,1.82,5.39,5.28,3.82,5.08,3.14,3.62,2.12,6.62,3.89,3.16,10.54
1992Q3,1.34,1.31,2.12,4.38,0.89,0.37,0.56,1.27,0.27,0.29,2.57,5.18,5.04,3.69,4.97,3.01,3.68,2.09,6.35,3.67,3.02,10.36
1992Q4,1.22,1.08,2.14,4.54,0.82,0.17,0.72,1.17,0.19,0.28,2.3,4.81,4.56,3.54,4.69,2.93,3.41,2,5.88,3.59,2.89,9.75
1993Q1,1.05,0.89,1.85,4.12,0.68,0.24,0.49,0.79,0.13,0.21,1.51,4.48,4.21,3.47,4.59,2.89,3.28,1.67,5.5,3.43,2.84,8.85
1993Q2,0.87,0.76,1.77,3.85,0.66,0.23,0.4,0.79,0.1,0.23,1.54,4.18,3.83,3.37,4.45,2.78,2.99,1.53,5.2,3.38,2.74,8.3
1993Q3,0.78,0.62,1.72,3.64,0.65,0.08,0.36,0.64,0.08,0.21,1.24,3.83,3.42,3.19,4.07,2.7,2.83,1.33,4.81,3.17,2.7,7.55
1993Q4,0.75,0.53,1.56,3.35,0.54,0.16,0.27,0.52,0.18,0.19,1.01,3.35,2.88,2.97,3.9,2.44,2.7,1.12,4.25,2.95,2.45,6.73
1994Q1,0.63,0.4,1.5,3.33,0.51,0.23,0.08,0.44,0.1,0.17,0.82,3.14,2.61,2.86,3.59,2.46,2.6,1.05,4.01,2.72,2.49,6.11
1994Q2,0.57,0.29,1.44,3.01,0.54,0.15,0.12,0.38,0.04,0.17,0.71,2.84,2.25,2.75,3.27,2.43,2.43,1,3.67,2.45,2.31,5.47
1994Q3,0.45,0.17,1.42,2.98,0.5,0.18,0.14,0.28,0.01,0.14,0.54,2.63,2.08,2.7,3.24,2.38,2.39,0.86,3.32,2.38,2.19,4.86
1994Q4,0.42,0.16,1.44,3.07,0.48,0.21,0.05,0.27,0.07,0.16,0.5,2.49,2.05,2.73,3.27,2.38,2.45,0.82,3.03,2.38,2.1,4.33
1995Q1,0.48,0.25,1.46,2.98,0.56,0.1,0.07,0.22,0.06,0.13,0.36,2.51,1.98,2.86,3.46,2.5,2.45,0.69,3.08,2.39,2.13,4.35
1995Q2,0.46,0.12,1.66,3.3,0.63,0.16,0.25,0.27,0.08,0.12,0.51,2.48,1.97,2.99,3.69,2.53,2.49,0.68,2.98,2.44,2.16,4.1
1995Q3,0.53,0.29,1.84,3.68,0.67,0.18,0.07,0.17,0.09,0.13,0.26,2.48,1.93,3.18,3.84,2.76,2.49,0.81,2.91,2.54,2.22,3.85
1995Q4,0.53,0.24,2.02,3.94,0.75,0.21,0.13,0.12,0.04,0.12,0.2,2.45,1.93,3.29,3.93,2.86,2.63,0.98,2.76,2.51,2.24,3.43
1996Q1,0.62,0.31,2.17,4.25,0.82,0.3,0.2,0.16,0.05,0.12,0.21,2.4,1.91,3.33,4.04,2.87,2.89,1.02,2.73,2.65,2.25,3.35
1996Q2,0.59,0.28,2.26,4.53,0.85,0.29,0.24,0.12,0.05,0.1,0.14,2.44,1.91,3.48,4.26,2.95,3.1,1.3,2.71,2.73,2.31,3.2
1996Q3,0.57,0.2,2.35,4.49,0.92,0.28,0.34,0.11,0.01,0.1,0.12,2.41,1.88,3.61,4.46,3.04,2.97,1,2.64,2.66,2.29,3.09
