"n"	"h"	"estName"	"phi"	"group"	"up"	"down"
1	0	"Frequentist"	0	"0"	FALSE	TRUE
1	1	"Frequentist"	1	"0"	TRUE	FALSE
1	0	"Bayes (Jeffreys)"	0.25	"0"	FALSE	TRUE
1	1	"Bayes (Jeffreys)"	0.75	"0"	TRUE	FALSE
1	0	"l1 minimax"	0.249999999454914	"0"	FALSE	TRUE
1	1	"l1 minimax"	0.750000000545086	"0"	TRUE	FALSE
1	0	"l2 minimax"	0.25	"0"	FALSE	TRUE
1	1	"l2 minimax"	0.75	"0"	TRUE	FALSE
2	0	"Frequentist"	0	"0"	FALSE	TRUE
2	1	"Frequentist"	0.5	"1"	TRUE	TRUE
2	2	"Frequentist"	1	"0"	TRUE	FALSE
2	0	"Bayes (Jeffreys)"	0.166666666666667	"0"	FALSE	TRUE
2	1	"Bayes (Jeffreys)"	0.5	"1"	TRUE	TRUE
2	2	"Bayes (Jeffreys)"	0.833333333333333	"0"	TRUE	FALSE
2	0	"l1 minimax"	0.191602592532209	"0"	FALSE	TRUE
2	1	"l1 minimax"	0.500000006633093	"1"	TRUE	TRUE
2	2	"l1 minimax"	0.808397407210937	"0"	TRUE	FALSE
2	0	"l2 minimax"	0.207106781186547	"0"	FALSE	TRUE
2	1	"l2 minimax"	0.5	"1"	TRUE	TRUE
2	2	"l2 minimax"	0.792893218813452	"0"	TRUE	FALSE
3	0	"Frequentist"	0	"0"	FALSE	TRUE
3	1	"Frequentist"	0.333333333333333	"1"	FALSE	TRUE
3	2	"Frequentist"	0.666666666666667	"1"	TRUE	FALSE
3	3	"Frequentist"	1	"0"	TRUE	FALSE
3	0	"Bayes (Jeffreys)"	0.125	"0"	FALSE	TRUE
3	1	"Bayes (Jeffreys)"	0.375	"1"	FALSE	TRUE
3	2	"Bayes (Jeffreys)"	0.625	"1"	TRUE	FALSE
3	3	"Bayes (Jeffreys)"	0.875	"0"	TRUE	FALSE
3	0	"l1 minimax"	0.162047910737173	"0"	FALSE	TRUE
3	1	"l1 minimax"	0.396586836038902	"1"	FALSE	TRUE
3	2	"l1 minimax"	0.603413178036184	"1"	TRUE	FALSE
3	3	"l1 minimax"	0.83795208686808	"0"	TRUE	FALSE
3	0	"l2 minimax"	0.18301270189222	"0"	FALSE	TRUE
3	1	"l2 minimax"	0.394337567297407	"1"	FALSE	TRUE
3	2	"l2 minimax"	0.605662432702594	"1"	TRUE	FALSE
3	3	"l2 minimax"	0.816987298107782	"0"	TRUE	FALSE
4	0	"Frequentist"	0	"0"	FALSE	TRUE
4	1	"Frequentist"	0.25	"1"	FALSE	TRUE
4	2	"Frequentist"	0.5	"2"	TRUE	TRUE
4	3	"Frequentist"	0.75	"1"	TRUE	FALSE
4	4	"Frequentist"	1	"0"	TRUE	FALSE
4	0	"Bayes (Jeffreys)"	0.1	"0"	FALSE	TRUE
4	1	"Bayes (Jeffreys)"	0.3	"1"	FALSE	TRUE
4	2	"Bayes (Jeffreys)"	0.5	"2"	TRUE	TRUE
4	3	"Bayes (Jeffreys)"	0.7	"1"	TRUE	FALSE
4	4	"Bayes (Jeffreys)"	0.9	"0"	TRUE	FALSE
4	0	"l1 minimax"	0.143748049966542	"0"	FALSE	TRUE
4	1	"l1 minimax"	0.33414661331872	"1"	FALSE	TRUE
4	2	"l1 minimax"	0.500000010808486	"2"	TRUE	TRUE
4	3	"l1 minimax"	0.665853397441746	"1"	TRUE	FALSE
4	4	"l1 minimax"	0.856251950686442	"0"	TRUE	FALSE
4	0	"l2 minimax"	0.166666666666667	"0"	FALSE	TRUE
4	1	"l2 minimax"	0.333333333333333	"1"	FALSE	TRUE
4	2	"l2 minimax"	0.499999999999999	"2"	TRUE	TRUE
4	3	"l2 minimax"	0.666666666666666	"1"	TRUE	FALSE
4	4	"l2 minimax"	0.833333333333332	"0"	TRUE	FALSE
5	0	"Frequentist"	0	"0"	FALSE	TRUE
5	1	"Frequentist"	0.2	"1"	FALSE	TRUE
5	2	"Frequentist"	0.4	"2"	FALSE	TRUE
5	3	"Frequentist"	0.6	"2"	TRUE	FALSE
5	4	"Frequentist"	0.8	"1"	TRUE	FALSE
5	5	"Frequentist"	1	"0"	TRUE	FALSE
5	0	"Bayes (Jeffreys)"	0.0833333333333333	"0"	FALSE	TRUE
5	1	"Bayes (Jeffreys)"	0.25	"1"	FALSE	TRUE
5	2	"Bayes (Jeffreys)"	0.416666666666667	"2"	FALSE	TRUE
5	3	"Bayes (Jeffreys)"	0.583333333333333	"2"	TRUE	FALSE
5	4	"Bayes (Jeffreys)"	0.75	"1"	TRUE	FALSE
5	5	"Bayes (Jeffreys)"	0.916666666666667	"0"	TRUE	FALSE
5	0	"l1 minimax"	0.130984903362762	"0"	FALSE	TRUE
5	1	"l1 minimax"	0.292083348440937	"1"	FALSE	TRUE
5	2	"l1 minimax"	0.431283995016491	"2"	FALSE	TRUE
5	3	"l1 minimax"	0.568716014376617	"2"	TRUE	FALSE
5	4	"l1 minimax"	0.707916638234306	"1"	TRUE	FALSE
5	5	"l1 minimax"	0.869015096773137	"0"	TRUE	FALSE
5	0	"l2 minimax"	0.154508497187497	"0"	FALSE	TRUE
5	1	"l2 minimax"	0.292705098312498	"1"	FALSE	TRUE
5	2	"l2 minimax"	0.4309016994375	"2"	FALSE	TRUE
5	3	"l2 minimax"	0.569098300562501	"2"	TRUE	FALSE
5	4	"l2 minimax"	0.707294901687502	"1"	TRUE	FALSE
5	5	"l2 minimax"	0.845491502812505	"0"	TRUE	FALSE
6	0	"Frequentist"	0	"0"	FALSE	TRUE
6	1	"Frequentist"	0.166666666666667	"1"	FALSE	TRUE
6	2	"Frequentist"	0.333333333333333	"2"	FALSE	TRUE
6	3	"Frequentist"	0.5	"3"	TRUE	TRUE
6	4	"Frequentist"	0.666666666666667	"2"	TRUE	FALSE
6	5	"Frequentist"	0.833333333333333	"1"	TRUE	FALSE
6	6	"Frequentist"	1	"0"	TRUE	FALSE
6	0	"Bayes (Jeffreys)"	0.0714285714285714	"0"	FALSE	TRUE
6	1	"Bayes (Jeffreys)"	0.214285714285714	"1"	FALSE	TRUE
6	2	"Bayes (Jeffreys)"	0.357142857142857	"2"	FALSE	TRUE
6	3	"Bayes (Jeffreys)"	0.5	"3"	TRUE	TRUE
6	4	"Bayes (Jeffreys)"	0.642857142857143	"2"	TRUE	FALSE
6	5	"Bayes (Jeffreys)"	0.785714285714286	"1"	TRUE	FALSE
6	6	"Bayes (Jeffreys)"	0.928571428571429	"0"	TRUE	FALSE
6	0	"l1 minimax"	0.121420094852295	"0"	FALSE	TRUE
6	1	"l1 minimax"	0.261479147365251	"1"	FALSE	TRUE
6	2	"l1 minimax"	0.381968919790032	"2"	FALSE	TRUE
6	3	"l1 minimax"	0.500000001388077	"3"	TRUE	TRUE
6	4	"l1 minimax"	0.6180310808445	"2"	TRUE	FALSE
6	5	"l1 minimax"	0.738520840141917	"1"	TRUE	FALSE
6	6	"l1 minimax"	0.878579904787746	"0"	TRUE	FALSE
6	0	"l2 minimax"	0.144948974278751	"0"	FALSE	TRUE
6	1	"l2 minimax"	0.263299316185832	"1"	FALSE	TRUE
6	2	"l2 minimax"	0.381649658092912	"2"	FALSE	TRUE
6	3	"l2 minimax"	0.499999999999992	"3"	TRUE	TRUE
6	4	"l2 minimax"	0.61835034190707	"2"	TRUE	FALSE
6	5	"l2 minimax"	0.736700683814145	"1"	TRUE	FALSE
6	6	"l2 minimax"	0.855051025721215	"0"	TRUE	FALSE
