Package,nUsing,ERROR,FAIL,NOTE,OK,WARN,has_problem,modeled_problem_probability
A3,2,0,0,0,12,0,FALSE,0.0721040324815259
ABC.RAP,0,0,0,0,11,1,FALSE,0.0578513797619318
ABCanalysis,1,0,0,0,12,0,FALSE,0.0646128204107019
ABCoptim,1,0,0,0,12,0,FALSE,0.0646128204107019
ABCp2,1,0,0,0,12,0,FALSE,0.0646128204107019
ABHgenotypeR,2,0,0,0,11,1,FALSE,0.0721040324815259
ABPS,1,0,0,0,12,0,FALSE,0.0646128204107019
ACA,0,0,0,0,12,0,FALSE,0.0578513797619318
ACCLMA,0,0,0,12,0,0,FALSE,0.0578513797619318
ACD,0,0,0,12,0,0,FALSE,0.0578513797619318
ACDm,5,0,0,3,9,0,FALSE,0.0996073011649021
ACEt,2,0,0,1,11,0,FALSE,0.0721040324815259
ACMEeqtl,1,1,0,0,11,0,TRUE,0.0646128204107019
ACNE,8,1,0,0,11,0,TRUE,0.136063049330599
ACSNMineR,3,0,0,0,10,2,FALSE,0.0803891324736847
ACSWR,1,0,0,0,12,0,FALSE,0.0646128204107019
ACTCD,2,0,0,0,12,0,FALSE,0.0721040324815259
ADCT,1,0,0,0,12,0,FALSE,0.0646128204107019
ADDT,3,0,0,0,12,0,FALSE,0.0803891324736847
ADGofTest,0,0,0,12,0,0,FALSE,0.0578513797619318
ADMM,5,0,0,3,9,0,FALSE,0.0996073011649021
ADMMnet,2,0,0,7,5,0,FALSE,0.0721040324815259
ADMMsigma,6,0,0,0,12,0,FALSE,0.110675716060278
ADPF,0,0,0,0,12,0,FALSE,0.0578513797619318
ADPclust,4,0,0,5,7,0,FALSE,0.0895343702857667
AEDForecasting,3,0,0,0,12,0,FALSE,0.0803891324736847
AER,6,3,0,0,9,0,TRUE,0.110675716060278
AF,4,0,0,2,10,0,FALSE,0.0895343702857667
AFM,19,0,0,0,10,2,FALSE,0.365107703239345
AGD,2,0,0,0,12,0,FALSE,0.0721040324815259
AGHmatrix,1,0,0,0,12,0,FALSE,0.0646128204107019
AGSDest,1,0,0,0,12,0,FALSE,0.0646128204107019
AGread,11,0,0,2,10,0,FALSE,0.183147410567722
AHMbook,6,0,0,0,12,0,FALSE,0.110675716060278
AHR,4,0,0,0,12,0,FALSE,0.0895343702857667
AICcmodavg,8,0,0,0,12,0,FALSE,0.136063049330599
AID,5,0,0,0,12,0,FALSE,0.0996073011649021
AIG,4,0,0,0,10,2,FALSE,0.0895343702857667
AIM,2,0,0,12,0,0,FALSE,0.0721040324815259
ALA4R,9,0,0,0,12,0,FALSE,0.15050530328391
ALDqr,2,0,0,0,12,0,FALSE,0.0721040324815259
ALEPlot,1,0,0,0,12,0,FALSE,0.0646128204107019
ALS,2,0,0,0,12,0,FALSE,0.0721040324815259
ALSCPC,0,0,0,12,0,0,FALSE,0.0578513797619318
ALSM,3,0,0,0,12,0,FALSE,0.0803891324736847
ALTopt,2,0,0,0,12,0,FALSE,0.0721040324815259
AMAP.Seq,0,0,0,12,0,0,FALSE,0.0578513797619318
AMCP,0,0,0,0,12,0,FALSE,0.0578513797619318
AMCTestmakeR,0,0,0,0,12,0,FALSE,0.0578513797619318
AMGET,0,0,0,12,0,0,FALSE,0.0578513797619318
AMIAS,3,0,0,0,12,0,FALSE,0.0803891324736847
AMModels,1,0,0,0,12,0,FALSE,0.0646128204107019
