example_name,estimate_name,SpearmanR_all,SpearmanR_test,pick_auc_test,pick_KL_div_test,training_lists,test_lists,data_size,test_size,extra_info,score_name,p_continue,generative_noise_scale,scoring_noise_scale,run_i,rand_seed
uci wine example,Stan inspection model,0.3507413934567369,0.3515095366337004,0.6701169375000001,1.1130146526347189,100,2000,6497,6017,"{""est_p_continue"": 0.7281110827499999}",quality,0.8,0.87,2.0,0,518677876
uci wine example,Stan list utility model,0.3879581442336376,0.3890788131183512,0.6864415,0.8651392889929308,100,2000,6497,6017,,quality,0.8,0.87,2.0,0,518677876
uci wine example,Stan difference utility model,0.3892496619449499,0.3906331618119282,0.6859344687500001,0.9323451867227404,100,2000,6497,6017,,quality,0.8,0.87,2.0,0,518677876
uci wine example,"logistic differences, early stop=T",0.2657367239415198,0.2689258808501814,0.69493915625,0.4456182012201308,100,2000,6497,6017,,quality,0.8,0.87,2.0,0,518677876
uci wine example,"logistic differences, early stop=F",0.4050487724001185,0.4067138774871838,0.7151789687500001,0.4163667373015793,100,2000,6497,6017,,quality,0.8,0.87,2.0,0,518677876
uci wine example,logistic items,0.367049167879922,0.3674491491945537,0.7117326875000002,0.4274855319755208,100,2000,6497,6017,,quality,0.8,0.87,2.0,0,518677876
uci wine example,observed score,0.5008226925889637,0.4998342588202326,0.726221,0.4061911545135095,100,2000,6497,6017,,quality,0.8,0.87,2.0,0,518677876
uci wine example,Stan inspection model,0.3124310999212165,0.3080933091373498,0.66076496875,1.2385641594624182,100,2000,6497,6025,"{""est_p_continue"": 0.778187189}",quality,0.8,0.87,2.0,1,1451336747
uci wine example,Stan list utility model,0.3152884613846145,0.3120225861071009,0.6666219375000001,1.0932390283705573,100,2000,6497,6025,,quality,0.8,0.87,2.0,1,1451336747
uci wine example,Stan difference utility model,0.2945986683226787,0.2918500644752212,0.6597569062499999,1.1987921164939197,100,2000,6497,6025,,quality,0.8,0.87,2.0,1,1451336747
uci wine example,"logistic differences, early stop=T",0.1817862946948385,0.1775620704042699,0.6890040312500001,0.4427607633867312,100,2000,6497,6025,,quality,0.8,0.87,2.0,1,1451336747
uci wine example,"logistic differences, early stop=F",0.2884604373003575,0.2859160982329304,0.69653471875,0.4374231056234761,100,2000,6497,6025,,quality,0.8,0.87,2.0,1,1451336747
uci wine example,logistic items,0.3309655411253132,0.3276650409939818,0.70497759375,0.420293136379344,100,2000,6497,6025,,quality,0.8,0.87,2.0,1,1451336747
