"Date","Movie","Time","Attendance","PopcornSales"
"2024-August-1","Chronicles of a Wandering Saint","6:40 pm",6,1
"2024-August-1","Eno","6:40 pm",10,1
"2024-August-1","Longlegs","8:35 pm",114,20
"2024-August-1","Staff Pick: Melvin and Howard (35mm)","8:45 pm",23,3
"2024-August-2","Made in England: The Films of Powell and Pressburger","6:00 pm",204,39
"2024-August-2","Lyd","6:30 pm",213,24
"2024-August-2","The Red Shoes","8:45 pm",230,39
"2024-August-2","Longlegs","8:50 pm",1,0
"2024-August-3","Invisible Nation","1:00 pm",156,31
"2024-August-3","Hollywoodgate","3:40 pm",6,1
"2024-August-3","Eno","4:00 pm",40,4
"2024-August-3","Eno","8:30 pm",9,2
"2024-August-3","Lyd","6:15 pm",128,19
"2024-August-3","CatVideoFest 2024","6:30 pm",95,18
"2024-August-3","Made in England: The Films of Powell and Pressburger","8:05 pm",5,1
"2024-August-4","Selena (en español) – Free screening","1:00 pm",195,39
"2024-August-4","Robot Dreams","1:25 pm",30,4
"2024-August-4","Burden of Dreams","3:40 pm",42,4
"2024-August-4","CatVideoFest 2024","4:05 pm",20,3
"2024-August-4","Made in England: The Films of Powell and Pressburger","5:45 pm",22,3
"2024-August-4","Eno","6:00 pm",41,8
"2024-August-4","Harold and Maude","8:05 pm",21,4
"2024-August-5","Made in England: The Films of Powell and Pressburger","6:00 pm",13,2
"2024-August-5","2024 CYA Film Showcase","6:00 pm",38,5
"2024-August-5","The Red Shoes","8:30 pm",6,1
"2024-August-5","The Vourdalak","8:45 pm",34,5
"2024-August-6","Made in England: The Films of Powell and Pressburger","6:00 pm",23,4
"2024-August-6","CatVideoFest 2024","6:30 pm",130,23
"2024-August-6","A Matter Of Life And Death","8:15 pm",203,37
"2024-August-6","Longlegs","8:45 pm",116,16
"2024-August-7","YIMBY Action Double Feature: Block by Block + Fault Lines","5:30 pm",11,2
"2024-August-7","CatVideoFest 2024","6:30 pm",201,22
"2024-August-7","Robot Dreams","8:15 pm",23,3
"2024-August-7","The Vourdalak","9:00 pm",45,9
"2024-August-8","Sisters with Transistors","6:00 pm",13,2
"2024-August-8","Lyd","6:30 pm",23,4
"2024-August-8","Chronicles of a Wandering Saint","8:20 pm",2,0
"2024-August-8","Longlegs","9:00 pm",8,2
"2024-August-9","CatVideoFest 2024","6:45 pm",226,23
"2024-August-9","Seven Samurai","7:00 pm",13,2
"2024-August-9","Crossing","8:30 pm",33,6
"2024-August-10","CatVideoFest 2024","1:10 pm",44,9
"2024-August-10","Robot Dreams","2:25 pm",92,15
"2024-August-10","I Know Where I’m Going!","3:00 pm",33,4
