"Date","Movie","Time","EstimatedAttendance"
2024-08-01,"Chronicles of a Wandering Saint","6:40 pm",47
2024-08-01,"Eno","6:40 pm",233
2024-08-01,"Longlegs","8:35 pm",233
2024-08-01,"Staff Pick: Melvin and Howard (35mm)","8:45 pm",47
2024-08-02,"Made in England: The Films of Powell and Pressburger","6:00 pm",233
2024-08-02,"Lyd","6:30 pm",233
2024-08-02,"The Red Shoes","8:45 pm",233
2024-08-02,"Longlegs","8:50 pm",47
2024-08-03,"Invisible Nation","1:00 pm",233
2024-08-03,"Hollywoodgate","3:40 pm",47
2024-08-03,"Eno","4:00 pm",47
2024-08-03,"Eno","8:30 pm",233
2024-08-03,"Lyd","6:15 pm",233
2024-08-03,"CatVideoFest 2024","6:30 pm",233
2024-08-03,"Made in England: The Films of Powell and Pressburger","8:05 pm",47
2024-08-04,"Selena (en español) – Free screening","1:00 pm",233
2024-08-04,"Robot Dreams","1:25 pm",47
2024-08-04,"Burden of Dreams","3:40 pm",47
2024-08-04,"CatVideoFest 2024","4:05 pm",47
2024-08-04,"Made in England: The Films of Powell and Pressburger","5:45 pm",47
2024-08-04,"Eno","6:00 pm",47
2024-08-04,"Harold and Maude","8:05 pm",47
2024-08-05,"Made in England: The Films of Powell and Pressburger","6:00 pm",47
2024-08-05,"2024 CYA Film Showcase","6:00 pm",47
2024-08-05,"The Red Shoes","8:30 pm",47
2024-08-05,"The Vourdalak","8:45 pm",233
2024-08-06,"Made in England: The Films of Powell and Pressburger","6:00 pm",233
2024-08-06,"CatVideoFest 2024","6:30 pm",233
2024-08-06,"A Matter Of Life And Death","8:15 pm",233
2024-08-06,"Longlegs","8:45 pm",233
2024-08-07,"YIMBY Action Double Feature: Block by Block + Fault Lines","5:30 pm",47
2024-08-07,"CatVideoFest 2024","6:30 pm",233
2024-08-07,"Robot Dreams","8:15 pm",47
2024-08-07,"The Vourdalak","9:00 pm",47
2024-08-08,"Sisters with Transistors","6:00 pm",47
2024-08-08,"Lyd","6:30 pm",47
2024-08-08,"Chronicles of a Wandering Saint","8:20 pm",47
2024-08-08,"Longlegs","9:00 pm",47
2024-08-09,"CatVideoFest 2024","6:45 pm",233
2024-08-09,"Seven Samurai","7:00 pm",47
2024-08-09,"Crossing","8:30 pm",47
2024-08-10,"CatVideoFest 2024","1:10 pm",47
2024-08-10,"Robot Dreams","2:25 pm",233
2024-08-10,"I Know Where I’m Going!","3:00 pm",233
2024-08-10,"Lyd","4:40 pm",233
2024-08-10,"Seven Samurai","5:10 pm",47
2024-08-10,"Crossing","6:30 pm",47
2024-08-10,"Longlegs","8:50 pm",47
2024-08-10,"Cuckoo (35mm)","9:30 pm",47
2024-08-11,"Dancing With the Dead: Red Pine and the Art of Translation","12:00 pm",233
2024-08-11,"Dancing With the Dead: Red Pine and the Art of Translation","3:15 pm",47
2024-08-11,"Made in England: The Films of Powell and Pressburger","1:00 pm",233
2024-08-11,"Crossing","3:45 pm",233
2024-08-11,"The Vourdalak","6:05 pm",47
2024-08-11,"Seven Samurai","6:30 pm",47
2024-08-11,"Longlegs","8:05 pm",233
2024-08-12,"Fringegrass Film Festival: Tales from the Strings","5:00 pm",233
2024-08-12,"Seven Samurai","6:30 pm",47
2024-08-12,"The Vourdalak","8:30 pm",233
2024-08-13,"Off the Charts","6:30 pm",233
2024-08-13,"Longlegs","6:30 pm",233
2024-08-13,"Crossing","8:45 pm",47
2024-08-13,"Staff Pick: Melvin and Howard (35mm)","9:10 pm",47
2024-08-14,"CatVideoFest 2024","6:45 pm",233
2024-08-14,"Seven Samurai","7:00 pm",233
